Method,N_designs,SwissProt_pident_mean,SwissProt_pident_std,Novel_pct,Within_method_identity_pct,seq_len_mean,seq_len_std,helix_pct,sheet_pct,coil_pct,avg_iptm,avg_iplddt,pct_charged_pos,pct_charged_neg,pct_hydrophobic,pct_polar
GLMN,48,40.03333333333333,1.8681351872961927,100.0,66.43875441467826,247.0,0.0,73.33839406207827,0.9784075573549258,25.6831983805668,0.8667102433741093,0.7138367260495823,14.735155195681513,17.619770580296894,36.63967611336032,14.110998650472334
CUL1-WHB,7,42.08571428571429,3.513985662761765,100.0,67.06349206349206,72.0,0.0,57.14285714285714,14.285714285714285,28.57142857142857,0.7331396034785679,0.7128813045365469,20.833333333333336,20.03968253968254,39.08730158730159,4.761904761904762
RFdiffusion,57,0.0,0.0,82.45614035087719,16.70485137198031,80.49122807017544,9.684528912168446,90.52288278541177,0.0,9.477117214588253,0.7869187281494253,0.7225232605348555,17.698343504795115,24.3025283347864,21.861377506538794,4.99128160418483
LatentX,15,,,,8.082539682539682,130.0,25.354627641855497,74.06666666666666,3.3777777777777773,22.55555555555556,0.34390510817368825,0.7417126615842183,11.897435897435898,13.692307692307693,29.28205128205128,19.94871794871795
