method,n,pass_065,iptm_mean,iptm_max,iptm_min
GLMN,48,48,0.8667102433741093,0.8868655085563659,0.8439582347869873
RFdiffusion,57,57,0.7869187281494253,0.9097074270248413,0.7005110383033752
CUL1_WHB,7,7,0.7331396034785679,0.760988962650299,0.7009738802909851
LatentX (spellbound_carter),6,0,0.35107829173405963,0.4870094060897827,0.20284992456436157
LatentX (supreme_korsakov),9,0,0.3391229858001073,0.508486807346344,0.18027687072753906
LatentX (combined),15,0,0.34390510817368825,0.508486807346344,0.18027687072753906
